Date,Open,High,Low,Close,Adj Close,Volume
08/08/2021,32119.93945,32630.05664,31224.58398,31585.01172,31585.01172,26179666684
09/08/2021,31580.54883,33527.71094,30909.11523,33485.27734,33485.27734,27973906826
10/08/2021,33424.21484,33688.48438,32316.8418,32947.62891,32947.62891,24246157165
11/08/2021,32958.23438,33707.32813,32789.92188,32880.76172,32880.76172,24750344592
12/08/2021,32868.67969,33324.66406,31730.51172,32168.6582,32168.6582,24417857448
13/08/2021,32176.91602,34498.38281,32067.82031,34470.50391,34470.50391,22895261494
14/08/2021,34483.03125,34690.74219,33305.20313,33968.25,33968.25,22510908489
15/08/2021,33968.04688,34155.88672,32873.87109,33937.35547,33937.35547,22353885175
16/08/2021,33917.84766,34621.17188,33025.24609,33237.87109,33237.87109,23681031135
17/08/2021,33188.72266,34185.99219,32405.12891,32529.41602,32529.41602,24346002054
18/08/2021,32523.15039,33419.69531,32275.89453,32598.7793,32598.7793,23425474162
19/08/2021,32555.62695,34452.96094,32064.08008,34274.67969,34274.67969,27295204148
20/08/2021,34278.74609,36214.42578,34216.42969,36212.24219,36212.24219,25472931832
21/08/2021,36203.35938,36489.55859,35457.19141,35900.54297,35900.54297,29792787516
22/08/2021,35873.83203,36307.95703,35382.61328,36200.8125,36200.8125,18621636282
23/08/2021,36178.80859,36897.65234,35753.00781,36103.48438,36103.48438,24997543764
24/08/2021,36115.28906,36321.37109,34744.69141,34759.10547,34759.10547,25764465863
25/08/2021,34774.50781,35756.66797,34354.68359,35570.94141,35570.94141,23718193505
26/08/2021,35601.35156,35858.71875,33794.03516,34263.26563,34263.26563,23843412530
27/08/2021,34228.47656,35679.45703,33884.76172,35640.14063,35640.14063,25071607215
28/08/2021,35650.25,35803.48047,35233.72656,35526.61719,35526.61719,20754155759
29/08/2021,35533.04297,36065.45703,34817.17578,35481.66016,35481.66016,18812429561
30/08/2021,35485.30859,35561.67578,34126.74609,34199.42188,34199.42188,23146309158
31/08/2021,34177.15234,34956.94141,33976.98828,34297.01953,34297.01953,25254010114
01/09/2021,34248.36719,35641.98047,33898.48047,35470.32031,35470.32031,28421113814
02/09/2021,35441.86719,36453.01563,35318.32422,35651.07031,35651.07031,28554023234
03/09/2021,35622.53906,36779.62891,34955.94922,36080.35156,36080.35156,31162068194
04/09/2021,36068.77734,36472.83203,35736.61328,36022.11328,36022.11328,27025857929
05/09/2021,36017.23047,37419.57031,35729.26953,37346.29688,37346.29688,21881449685
06/09/2021,37357.55078,38081.91016,36877.44922,38032.67578,38032.67578,28097421276
07/09/2021,38052.14453,38163.21875,31410.21484,33972.05469,33972.05469,47324635774
08/09/2021,33984.125,34340.71484,32399.56445,33479.95703,33479.95703,35598356531
09/09/2021,33249.94922,34105.6875,33169.47656,33523.18359,33523.18359,27945480720
10/09/2021,33526.96875,33989.93359,32052.41602,32444.64844,32444.64844,28303224832
11/09/2021,32434.47852,33226.83594,32397.19727,32671.83984,32671.83984,24936653414
12/09/2021,32675.57813,33506.69141,32374.76953,33285.59375,33285.59375,20147686156
13/09/2021,33281.21875,33683.99609,31514.51953,32493.32813,32493.32813,29607625980
14/09/2021,32491.14453,34201.50391,32335.39453,34104.90234,34104.90234,27992314290
15/09/2021,34108.88672,34986.80859,33854.8125,34794.30469,34794.30469,22016756914
16/09/2021,34781.71094,35079.6875,34132.49219,34629.07813,34629.07813,23019901326
17/09/2021,34620.125,34881.80078,34093.1875,34400.16797,34400.16797,20907340574
18/09/2021,34404.53906,35509.48438,34268.99609,35135.83594,35135.83594,20796658027
19/09/2021,35128.91406,35172.22656,34186.94141,34424.01172,34424.01172,19643100403
20/09/2021,34424.87891,34478.82813,31187.43359,31359.69336,31359.69336,32139987157
21/09/2021,31482.97656,31870.62109,29122.82031,29796.1543,29796.1543,35659230369
22/09/2021,29784.64258,32173.04297,29749.05469,32001.77344,32001.77344,28010374566
23/09/2021,31991.33398,32749.00391,31653.76367,32719.86133,32719.86133,24957313865
